File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,38.597813%,2048,492,64,428,0,2048
sd_app.o,27.365248%,1452,1590,1574,0,16,1436
mcu_cmic_gd32f470vet6.o,11.157181%,592,1660,1640,0,20,572
usart_app.o,9.705994%,515,159,156,0,3,512
btn_app.o,3.693931%,196,564,354,14,196,0
c_w.l,1.809273%,96,8269,7718,551,0,96
libspace.o,1.809273%,96,8,8,0,0,96
scheduler.o,1.432341%,76,176,100,0,76,0
sdio_sdcard.o,1.281568%,68,7170,7134,0,36,32
perf_counter.o,1.206182%,64,848,780,4,64,0
ebtn.o,1.130795%,60,2070,2070,0,0,60
oled.o,0.414625%,22,3976,1242,2712,22,0
led_app.o,0.131926%,7,251,244,0,7,0
ff.o,0.113080%,6,5148,5142,0,6,0
systick.o,0.075386%,4,168,164,0,4,0
system_gd32f4xx.o,0.075386%,4,698,694,0,4,0
